id;name;model;port_number;emulator_name;status
1;systemic;Bacon program;25050;HTTP;ERROR
2;Practical Graphical User Interface Generic Plastic Keyboard;Versatile;14126;bandwidth;BUSY
3;Baby Malagasy Ariary Avon;upward-trending Human service-desk;50121;Tactics West Virginia;ONLINE
4;Avon Grass-roots client-server;Towels Unbranded;48693;fresh-thinking;ONLINE
5;Assistant;Senior functionalities Checking Account;6115;Streets Data sky blue;ONLINE
6;Georgia Rubber Mobility;Auto Loan Account;24577;Terrace solid state Future;ERROR
7;salmon Direct capacitor;Chicken copying bus;36237;Nevada;OFFLINE
8;Handcrafted Rubber Gloves Garden Electronics;bus;23052;static;STARTING
9;Games;disintermediate Ergonomic Awesome;51818;synthesize synthesize B2C;OFFLINE
10;Lodge virtual Coordinator;program withdrawal Savings Account;79123;SMTP;BUSY
